,time,seconds_elapsed,acc_x,acc_y,acc_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,activity
0,1689125008119793000,0.02079296875,-0.0627678602106869,-0.0197141697734594,-0.0153419460386037,-1.4639846109502015,-9.542128710475565,-1.7247943326056003,-0.1093757599592208,-0.1955530047416687,-0.1093757599592208,0.1717744344242931,0.6185091021630225,0.7613806605097219,0
1,1689125008129769000,0.03076904296875,-0.0776556327410042,-0.0022223522245883,-0.0162928170226514,-1.4701955944195388,-9.540017417410017,-1.7311754119448364,-0.1055522635579109,-0.1838228553533554,-0.1055522635579109,0.1725543426778725,0.6180288157778489,0.7615273080688703,0
2,1689125008139746000,0.04074609375,-0.1082753735408186,-0.0211953482419252,-0.0072889879643917,-1.4753395331792531,-9.53810369274318,-1.737335688140243,-0.105382390320301,-0.165603682398796,-0.105382390320301,0.1732470570639353,0.6175807519412213,0.7616691214843867,0
3,1689125008149721900,0.050721923828125,-0.1543989729426801,-0.0739677380084991,-0.0097987788282334,-1.479344384906441,-9.536357725858688,-1.7435048782944678,-0.1040574684739112,-0.1493863612413406,-0.1040574684739112,0.1738505395549661,0.6171563671577964,0.7618129761201984,0
4,1689125008159699000,0.060698974609375,-0.197509654264152,-0.0954869113773107,-0.0196872817665338,-1.481573897524178,-9.534889991393683,-1.7496277450889348,-0.0990155264735221,-0.1317447125911712,-0.0990155264735221,0.1743411038480753,0.6167649381097902,0.7619545979296718,0
5,1689125008169674800,0.0706748046875,-0.2120909911938011,-0.1162123040199279,-0.0414497623719275,-1.4824055260427296,-9.533618656283616,-1.755847788647562,-0.0892920568585395,-0.1099912226200103,-0.0892920568585395,0.1747206518976019,0.61640033082971,0.7621020073795863,0
6,1689125008179652000,0.080652099609375,-0.2177810195289552,-0.1440174257904291,-0.0424174383603036,-1.4825509258627891,-9.532447274416684,-1.7620622792482374,-0.0813198611140251,-0.0860634893178939,-0.0813198611140251,0.1750022478498305,0.6160633394993338,0.7622567261391625,0
7,1689125008189629200,0.090629150390625,-0.2232110817536711,-0.1795703852087259,-0.0109048403739929,-1.482807384841889,-9.531311548385023,-1.7679868469916282,-0.0772148668766021,-0.0616617463529109,-0.0772148668766021,0.1752201472372075,0.6157561646235676,0.7624130439490139,0
8,1689125008199605000,0.10060498046875,-0.2252531089752912,-0.1590828929752111,0.0147656074553728,-1.4831594131499528,-9.530101588073371,-1.774204260201752,-0.0767616033554077,-0.0364003404974937,-0.0767616033554077,0.175355621919499,0.6154601255834151,0.762591856343736,0
9,1689125008209581800,0.110581787109375,-0.2175327438563108,-0.1363379772037267,0.0108301677025854,-1.4835473895542324,-9.528903902721405,-1.780294539900869,-0.0692384392023086,-0.0225865226238966,-0.0692384392023086,0.1754366997168279,0.615184693197704,0.7627751514726956,0
