,time,seconds_elapsed,acc_x,acc_y,acc_z,gra_x,gra_y,gra_z,gyr_x,gyr_y,gyr_z,ori_x,ori_y,ori_z,activity
0,1686424718266431200,0.02443115234375,-0.1353010353714227,-0.539727054670453,0.0394938059985637,-3.5558100288316608,-7.602953960564732,-5.071657367357611,0.0655269995331764,-0.1283040046691894,0.0655269995331764,-0.2096091202659357,-0.444388862080828,-0.8709618746694495,0
1,1686424718276406500,0.034406494140625,-0.3472866664946079,-0.9789479084968566,-0.2728828751564026,-3.5747146357879043,-7.601720619377493,-5.060200738319755,0.0516998097300529,-0.2738028168678283,0.0516998097300529,-0.2107318307516007,-0.4445150807659846,-0.8706267600636319,0
2,1686424718286382300,0.04438232421875,-0.5817936337664723,-1.2751292416542768,-0.5307797781050205,-3.6014749246805904,-7.599877037337422,-5.043969149965047,0.0542620345950126,-0.4137910902500152,0.0542620345950126,-0.2125069637104039,-0.4446008641703054,-0.8701508078497913,0
3,1686424718296358400,0.0543583984375,-0.7189961188450456,-1.2850754661291837,-0.6872685629338026,-3.6339614822655912,-7.599058122169971,-5.0218543487906455,0.0972950831055641,-0.4964595437049866,0.0972950831055641,-0.2147790242631596,-0.4447770697847302,-0.8695012424509097,0
4,1686424718306334500,0.06433447265625,-0.621477701640129,-1.0138070404320956,-0.7472253112465143,-3.668781743495166,-7.601128498703241,-4.993321497267484,0.1490104794502258,-0.5553015470504761,0.1490104794502258,-0.217311061440816,-0.4451823772415271,-0.8686619852346376,0
5,1686424718316310500,0.074310546875,-0.3317769626736641,-0.5496627577513457,-0.8062924172431231,-3.705595224368572,-7.605287371948361,-4.9596933684319255,0.1776929199695587,-0.5938010215759277,0.1776929199695587,-0.2200570720272141,-0.445758790584043,-0.8676714733383252,0
6,1686424718326286300,0.084286376953125,-0.022862989193201,0.0027408231407403,-0.7540145329952239,-3.744263685458898,-7.610615288972854,-4.922338912549614,0.2211461216211319,-0.5975017547607422,0.2211461216211319,-0.2229181781658437,-0.4464729042162929,-0.8665700918851001,0
7,1686424718336262400,0.094262451171875,0.1334407944574952,0.4030570690333843,-0.6130281454637646,-3.784298758727312,-7.616337173750996,-4.882711835560202,0.2621770203113556,-0.5241650938987732,0.2621770203113556,-0.2257330623482251,-0.4473204250529856,-0.86540170141347,0
8,1686424718346238500,0.104238525390625,0.1484957402482628,0.5631155290424823,-0.3798249542668461,-3.820153039179742,-7.622567592573166,-4.84492161860913,0.2716631889343261,-0.3779455721378326,0.2716631889343261,-0.2281030589208827,-0.4482708316061715,-0.8642882268758099,0
9,1686424718356214500,0.114214599609375,0.2708037307947873,0.5933370643049478,-0.235751706635952,-3.845795429958403,-7.629597052818537,-4.813469957029819,0.2504932284355163,-0.2245045900344848,0.2504932284355163,-0.2297355795123182,-0.4492247681626127,-0.8633616128047672,0
10,1686424718366190300,0.1241904296875,0.5283844074010848,0.660292293202877,-0.242611071011424,-3.8594671046972273,-7.638492306935786,-4.7883550972566,0.2562328577041626,-0.0875246301293373,0.2562328577041626,-0.2305873249206525,-0.4502125275335403,-0.8626214997400573,0
